MSFT,FB,T,INTC,TSM,ORCL,CHL,VZ,CSCO,IBM,SAP,NVDA,AVGO,VOD.L,MEL.L,MCRO.L,SGE.L,KNM.L,RSW.L,SXS.L,ISAT.L,MONY.L,AVV.L,TALK.L,CCC.L,SYNC.L,IQE.L,HSBA.L,BNC.L,PRU.L,LLOY.L,RBS.L,BARC.L,STAN.L,AV.L,LGEN.L,LSE.L,SDRC.L,III.L,OML.L,HL.L,LAND.L,SMT.L,BLND.L,RSA.L,STJ.L,SGRO.L,ADM.L,DLG.L,INVR.L,CMC.DE,BAC,SHB.L,HICL.L,ICP.L,JLT.L,WFC,BEZ.L,JUP.L,ATST.L,V,IGG.L,ASHM.L,PG,BUD,KO,TM,UN,PEP,PM,BTI,MO,DGE.L,RB.L,CCL.L,ABF.L,MNDI.L,RICO.L,SMDS.L,SKG.L,GKN.L,RPC.L,BC94.L,BD15.L,BOO.L,NESM.DE,FEVR.L,BVIC.L,CINE.L,TCG.L
75.620224,172.229996,38.59,39.39653,38.459999,48.209846,50.130001,48.810001,33.75,145.030365,110.970001,181.300003,245.740005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.209999,,,,,55.194374,,,,106.541229,,,91.643272,119.696579,45.490002,121.870003,58.090961,110.400002,111.269997,62.330002,62.549999,,,,,,,,,,,,,,,,,,
75.908775,172.5,38.299999,39.625175,38.77,48.170002,50.299999,49.049999,33.759998,145.931366,112.309998,185.389999,246.419998,211.199997,,2426,731.5,,4754,2453.946045,638,318.700012,2430,214.600006,1008,1.39939,125.75,745.636902,493.25,1824,66.550003,272.200012,188.350006,770.799988,497.700012,262.299988,3925,2495,6.29721,194.899994,1480,982,4.355024,597.5,622,1124,534.5,1875,366.399994,535,82.220001,25.85,987,1.49481,952,1253,54.757423,484.799988,555,7.7642,106.820732,643.5,330.465363,91.434837,120.474152,45.41,121.669998,58.081032,110.010002,113.370003,63.189999,63.57,2542,6938,4938,3305,2096,,502.5,2310,356,967.5,,,196.5,72.5,2167,761,702,121.800003
75.908775,171.589996,38.5,39.416412,38.970001,48.209999,50.830002,49.139999,33.549999,147.03038,112.349998,188.929993,245.990005,213.100006,,2408,719.5,,4761,2445.015381,645,319,2441,217.399994,1002,1.39886,126.25,753.334106,505.5,1826,67.099998,277.5,190,767.299988,497.600006,262.700012,3922,2490,6.29493,194.800003,1493,990.5,4.369787,601,620.5,1116,542.5,1880,370.700012,535,82.220001,25.93,988,1.49424,956,1246,55.224163,489.700012,553.5,7.7552,107.120201,641,330.368469,90.938553,122.1474,45.869999,124.080002,58.845387,110.779999,115.169998,64.739998,65.010002,2555.5,7090,5025,3283,2089,,501,2277,353,963.5,,,190,72.82,2133,771.5,699.5,122.400002
76.038124,172.740005,38.189999,39.068474,40.349998,48.279999,50.349998,48.860001,33.59,146.159088,112.660004,190.940002,250.399994,215,,2410,720.5,,4766,2447,627.5,320.799988,2445,216.899994,1011,1.40041,140.5,748.400024,508.5,1824,66.5,275.399994,190.399994,765,493.5,263.399994,3921,2500,6.29918,196.300003,1496,993,4.392924,605,615,1130,547.5,1882,370.100006,535,81.610001,25.83,996.5,1.49538,959,1253,55.273815,494.600006,558,7.77342,108.248207,639.5,331.821686,90.779739,122.226143,46.099998,123.559998,59.311943,111.510002,114.260002,64.800003,64.870003,2558.5,7038,5040,3304,1926,,490.5,2210,351.799988,974,,,199,72.660004,2170,774,699,122.300003
76.734634,172.550003,35.860001,38.959122,40.439999,48.23,50.389999,48.349998,33.259998,145.574936,112.650002,191.029999,248.740005,216.350006,,2422,730,,4851,2474,647,323.200012,2493,218,1020,1.40105,139,747,508,1829.5,66.300003,274.200012,193.050003,758.5,500,264.600006,3931,2524,6.30042,199.600006,1536,993,4.3941,609.5,616.5,1176,550,1887,376.100006,535,80.870003,25.450001,1004,1.49609,969.5,1273,54.826939,498.100006,580,7.77739,107.918785,643,342.18811,91.464615,122.659225,46.110001,123.190002,60.344318,112.449997,114.529999,64.459999,65.349998,2569,7166,5020,3338,1945,,486.5,2230,352.799988,961.5,,,202,73.029999,2205,778.5,702,123.099998
77.102776,173.740005,35.700001,39.436291,40.82,48.610001,50.599998,47.860001,33.470001,145.644241,112.720001,194.589996,247.960007,215.649994,,2412,726,531450,4850,2481,635,318.100006,2517,204.899994,1019,1.39808,134,739,499.25,1828,65.900002,275.200012,191.25,746.099976,499.600006,266.299988,3922,2541,9.67,200.899994,1536,986.5,4.343241,608.5,612.5,1177,549.5,1883,376.5,535,81.190002,25.83,1000,1.49318,967,1266,53.317482,499.899994,587,7.335,108.467819,640,366.69931,92.347992,123.387573,46.18,123.379997,60.870434,112.620003,113.989998,64.480003,65.050003,2551.5,7187,5000,3348,1912,115754,486.299988,2180,318,950.5,118900,,202,73.190002,2170,773,693,123.099998
77.261986,174.520004,36.169998,39.525761,40.889999,48.860001,50.57,48.09,33.540001,145.376907,111.839996,197.929993,246.669998,216,186136,2440,727,531450,4841,2461,626.5,318.5,2496,214.5,1011,1.39919,130,743.900024,493,1817,65.589996,274.100006,189.25,751.299988,495,265.5,3915,2513,6.3049,200.899994,1541,976.5,4.384181,608,612.5,1183,548.5,1892,375.600006,510,82.519997,26.24,1004,1.49334,961,1267,53.42672,504,589,7.73191,108.108452,638,364.277252,92.447243,123.741913,46.619999,123.419998,60.731461,113.57,113.519997,64.379997,65.370003,2541.5,7020,5030,3343,1901,117100,479.299988,2165,307.100006,938,119800,,195.75,73.339996,2192,770.5,695,122.900002
77.202278,176.110001,36.23,39.555588,41.25,49.189999,50.66,48.400002,33.599998,145.089783,111.339996,197.75,242.619995,216.149994,188489,2436,722,543000,4852,2462,608,315.799988,2456,209,1005,1.40165,131.75,743.5,503,1821,66.330002,273.399994,191.350006,750.799988,494.799988,264.399994,3899,2498,9.4,198.199997,1532,986.5,4.373147,607.5,616,1157,547.5,1880,376.200012,535,83.120003,26.200001,1006,1.49514,947,1267,52.820953,496.799988,584.5,7.37,107.349792,634,365.342957,92.109779,124.037186,46.52,123.309998,60.532925,112.190002,112.650002,64.209999,64.870003,2538.5,7035,5080,3333,1883,117200,472.100006,2150,306,933,,,198,72.93,2186,762.5,680,121.5
77.222183,176.029999,35.709999,40.012878,41.5,49.580002,50.610001,48.650002,33.549999,157.951233,111.769997,197.580002,244,216.800003,186510,2469,725,543000,4813,2486,613.5,317.5,2453,209.100006,998.5,1.40128,132,748.299988,500,1840.5,66.830002,279.200012,192.649994,756.5,499,266.600006,3920,2518,9.375,198.699997,1540,1000,4.366169,616.5,618.5,1164,554,1894,376,535,83.419998,26.48,1008,1.49561,959,1270,53.039425,498.100006,590.5,7.39,107.609337,635,364.180359,92.079994,123.820656,46.400002,124.260002,60.939919,111.949997,112.510002,64.019997,64.809998,2566.5,6857,5040,3365,1905,117200,489.600006,2162,306.700012,956,,,197,73.269997,2185,765,666,120.900002
77.520683,174.559998,35.689999,39.853821,41.07,49.349998,50.169998,49.209999,33.75,159.307663,113.400002,197.800003,244.289993,217.050003,189200,2474,728.5,528000,4710,2454,620,315.399994,2440,204.300003,1010,1.58047,137,742.900024,501,1836,66.989998,280.100006,192,748.700012,501.5,266.299988,3878,2497,6.32804,196.699997,1543,988,4.366229,610.5,626,1167,551.5,1908,377.299988,535,82.260002,26.58,1008,1.49615,953.5,1281,53.377068,494.100006,588,7.75889,106.830711,630.5,364.083466,91.589996,123.95845,46.59,123.07,57.227341,112.669998,108.150002,63.470001,64.370003,2571,6790,4945,3360,1900,115900,491.200012,2240,302.100006,951,,,195.5,73.190002,2165,764.5,660,120.199997
78.416183,174.979996,35.540001,40.191818,41.119999,49.25,51.029999,49.529999,34.25,160.466095,112.029999,196.899994,244.240005,216.850006,190628,2467,730,528000,4796,2492,623,315.299988,2455,204.399994,1003,1.58073,133.5,748.599976,502.5,1866.5,67,282.299988,195.699997,772.099976,505.5,268.600006,3849,2501,6.32592,197.199997,1536,975,4.360956,610.5,641,1176,549,1921,379.700012,535,84.419998,27.17,994,1.49577,964.5,1279,54.538948,497.899994,588.5,7.77402,107.359779,630,361.855194,88.25,123.515526,46.380001,123.709999,55.907089,111.610001,109.519997,64.190002,65,2567.5,6610,4956,3325,1890,115900,490,2260,303.399994,936.5,,,194.25,72.199997,2130,764.5,657,120.199997
78.436089,171.270004,35.25,40.589462,41.209999,49.310001,50.700001,48.990002,34.349998,157.971039,112.32,196.619995,244.270004,216.199997,193905,2521,734,531042,4774,2474,616,317.700012,2479,202.300003,986.5,1.58079,132.25,743.5,494.25,1885,67,279.5,195.449997,767.700012,503,268.100006,3845,2503,6.31147,195.300003,1538,967,4.330771,603.5,630,1170,545.5,1916,378,535,84.980003,27.16,980,1.49477,962,1277,54.529018,494.5,590.5,7.76623,107.339813,630,366.408661,87.300003,123.131668,46.32,122.769997,55.480244,111.690002,109.360001,64.25,64.5,2579,6600,4970,3371,1884,116016,495.399994,2240,319,940,,,197,71.599998,2095,763,665.5,119.599998
78.465935,171.800003,34.860001,40.708752,41.32,49.98,50.540001,48.939999,34.580002,154.337357,112.300003,198.679993,247.679993,216.199997,193103,2509,729,531042,4780,2470,612,317.600006,2476,207.600006,990,1.58199,138.5,746.799988,506,1861.5,67.400002,281,198,783.299988,505.5,268.399994,3826,2499,6.3077,194.899994,1534,962.5,4.345674,606,632,1193,545.5,1900,372.399994,535,85.669998,27.68,986.5,1.49658,971.5,1280,55.03548,491.799988,591,7.7991,108.218262,628,368.830719,86.980003,122.048973,46.18,123.879997,55.331345,110.75,108.57,63.259998,64.129997,2565.5,6600,4973,3363,1861,116016,495.399994,2253,320,965,,,194.5,71.379997,2118,760,656,120.300003
78.237083,170.600006,33.490002,40.539753,41.16,49.700001,50.23,48.639999,34.299999,151.980896,112.760002,193.660004,245.820007,213.600006,195227,2533,736,531042,4854,2504,615.5,318.600006,2489,207.800003,981.5,1.57964,136.5,741.900024,501.5,1844.5,67.940002,280.100006,197,759.599976,502,266.899994,3780,2483,9.43,190.399994,1556,952.5,4.281437,604,628,1165,535,1894,369,540,85.410004,27.629999,982.5,1.49305,983.5,1286,54.866661,497.100006,591,7.325,109.296341,629.5,367.958771,86.860001,119.647362,46.049999,122.339996,55.480244,110.07,107,64.529999,63.790001,2539.5,6580,4953,3326,1834,117315,502,2257,315.399994,967,,,196.75,69.830002,2140,758,653.5,120
78.36644,170.630005,33.68,41.106396,41.200001,50.150002,50.380001,48.889999,34.27,152.079926,113.400002,195.690002,243.759995,215.149994,195227,2559,738,531042,4995,2540,613.5,320.899994,2510,210.699997,1005,1.5811,139.25,746.900024,517,1870.5,68.93,281,182.399994,761.400024,511,270.399994,3790,2513,6.2979,188.100006,1564,950.5,4.323504,594.5,635.5,1184,532.5,1925,373.899994,540,87.360001,27.74,979.5,1.4936,1006,1305,55.234093,504,602,7.75715,109.605797,642,369.121368,87.5,118.515465,46.23,123.849998,56.582104,110.730003,106.93,65.440002,65.790001,2565,6640,5015,3362,1848,116800,510,2272,316.399994,973,,,201,71.25,2155,758,666.5,120.900002
