MSFT,FB,T,INTC,TSM,ORCL,CHL,VZ,CSCO,IBM,SAP,NVDA,AVGO,VOD.L,MEL.L,MCRO.L,SGE.L,KNM.L,RSW.L,SXS.L,ISAT.L,MONY.L,AVV.L,TALK.L,CCC.L,SYNC.L,IQE.L,HSBA.L,BNC.L,PRU.L,LLOY.L,RBS.L,BARC.L,STAN.L,AV.L,LGEN.L,LSE.L,SDRC.L,III.L,OML.L,HL.L,LAND.L,SMT.L,BLND.L,RSA.L,STJ.L,SGRO.L,ADM.L,DLG.L,INVR.L,CMC.DE,BAC,SHB.L,HICL.L,ICP.L,JLT.L,WFC,BEZ.L,JUP.L,ATST.L,V,IGG.L,ASHM.L,PG,BUD,KO,TM,UN,PEP,PM,BTI,MO,DGE.L,RB.L,CCL.L,ABF.L,MNDI.L,RICO.L,SMDS.L,SKG.L,GKN.L,RPC.L,BC94.L,BD15.L,BOO.L,NESM.DE,FEVR.L,BVIC.L,CINE.L,TCG.L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.169998,177.179993,36.380001,44.84,39.599998,49.060001,,50.889999,37.299999,153.970001,113.349998,,,,,2489,774.5,593000,,,,335,2631,153.100006,1126,1.61662,174.25,734,499.5,1859,66,276.600006,193.5,738.400024,511,267.200012,,2470,884.5,197.300003,1602,934,440.600006,629,608.5,1214,548.5,1923,365.799988,545,88.269997,28.17,992.5,1.49865,1065,,,488,598.5,7.34,112.589996,647,375.200012,89.989998,114.489998,45.77,126.339996,,116.519997,,63.630001,67.830002,2568.5,6486,4766,,1766,,540,2354,310.100006,924,,,182.5,72.139999,1950,805,550,118.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,175.130005,36.48,43.950001,39.41,48.52,51.02,49.900002,37.48,153.550003,112.970001,,271.5,225.25,187600,2498,779,592322,5380,2543,483.899994,,2632,145.300003,,1.61877,170,743.200012,505.5,,67.099998,281.600006,194.25,749,509,268.399994,3805,2495,,200.5,1598,,,624,,,549.5,1921,364.200012,541.23291,87.839996,28.160002,987.5,1.49965,1066,,56.68,499.5,590,7.80847,109.860001,664,374.600006,89.379997,115.889999,45.130001,126.550003,57.939999,116.034996,102.68,64.769997,67.370003,2593.5,6518,,3012,1769,98900,543,2360,311.299988,894.5,,,181.25,,2035,811,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84.879997,182.419998,35.419998,44.73,,49.009998,51.580002,48.82,,152.470001,,210.710007,277.399994,226.449997,186500,2587,,592322,5510,2600,477.600006,335,2664,,1125,1.56722,172,745.299988,501,1897,64.830002,271.200012,187.350006,742.5,507,266.200012,3800,2493,,,1610,923,,621,608.5,1206,560.5,,359,541.23291,83.489998,27.522717,,1.50429,1048,1337,,501.5,,7.89608,113.360001,667,368.5,89.400002,117.440002,45.457317,126.959999,58.610001,115.965477,102.879997,66.160004,66.400002,2650,,5010,3056,1800,98900,,2404,313.200012,964.5,,,182,73.669998,,758.5,694.5,120
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.870003,183.029999,,44.490002,41.09,,,47.66,36.869999,151.979996,115.739998,214.139999,284.619995,224.600006,188680,2557,809.5,592322,,2582,479.200012,329.5,2652,151.100006,1117,1.56533,172,735.599976,499.875,1888.5,65.489998,267.600006,187.5,734.299988,502.5,265.600006,3770,2469,,195.199997,1597,922,,620,600.5,1190,559.5,1874,356.899994,541.23291,,26.477173,989.5,1.50142,1037,1334,53.950001,497.100006,580.5,7.80614,112.379997,661,364.100006,88.959999,117.510002,45.526749,125.980003,57.759998,115.051819,102.720001,,65.07,2606.5,6445,4963,,,98187.5,554,2380,311.100006,929,,116,182,,,759.5,654.5,119.400002
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.870003,183.029999,34.68,44.490002,41.09,48.880001,51.110001,47.66,,151.979996,115.739998,214.139999,284.619995,224.600006,188680,2557,809.5,592322,5450,2582,479.200012,329.5,2652,,1117,1.56533,172,735.599976,499.875,1888.5,65.489998,267.600006,187.5,734.299988,502.5,,3770,2469,,195.199997,1597,,,,600.5,1190,,1874,356.899994,541.23291,82.449997,26.477173,989.5,1.50142,1037,1334,53.950001,497.100006,580.5,,112.379997,,364.100006,88.959999,117.510002,45.526749,125.980003,57.759998,,102.720001,,,2606.5,6445,4963,,1748,98187.5,554,2380,311.100006,,,116,,72.970001,2027,759.5,654.5,119.400002
